CourseCode,CourseName,Credit,Link,Note
EECS 486,Informational Retrieval and Web Search,['4'],https://atlas.ai.umich.edu/course/EECS%20486/,"Prerequisite: EECS 281; (C or better, No OP/F) or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade requirement of “C” for enforced prerequisite. (4 credits)"
EECS 487,Introduction to Natural Language Processing,['4'],https://atlas.ai.umich.edu/course/EECS%20487/,"Prerequisite: EECS 281; (C or better, No OP/F). Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade requirement of “C” for enforced prerequisite. (Credit Exclusion: No credit to a student who has taken EECS 595.) (4 credits)"
EECS 489,Computer Networks,[],https://atlas.ai.umich.edu/course/EECS%20489/,Prerequisite: EECS 281 and EECS 370 or Graduate Standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors.
EECS 490,Programming Languages,['4'],https://atlas.ai.umich.edu/course/EECS%20490/,Prerequisite: EECS 281 or graduate standing in CSE. Minimum grade requirement of “C” for enforced prerequisite. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits)
EECS 491,Introduction to Distributed Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20491/,"Enforced Prerequisite: EECS 281; (C or better, No OP/F) or graduate standing in CSE. Enrollment in one minor elective allowed for Computer Science Minors. Minimum grade requirement of “C” for enforced prerequisite. (4 credits)"
EECS 492,Introduction to Artificial Intelligence,['4'],https://atlas.ai.umich.edu/course/EECS%20492/,Prerequisite: EECS 281. Minimum grade requirement of “C” for enforced prerequisite. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits) (Not for graduate credit) 
EECS 493,User Interface Development,['4'],https://atlas.ai.umich.edu/course/EECS%20493/,Prerequisite: EECS 281 or graduate standing in CSE. Minimum grade requirement of “C” for enforced prerequisite. Enrollment in one minor elective allowed for Computer Science Minors. (4 credits)
EECS 494,Computer Game Design and Development,['4'],https://atlas.ai.umich.edu/course/EECS%20494/,Prerequisite: EECS 281. Minimum grade requirement of “C” for enforced prerequisite. (4 credits)
EECS 495,Accessible Computing,['4'],https://atlas.ai.umich.edu/course/EECS%20495/,"Prerequisite: EECS 281 (C or better, No OP/F). Minimum grade requirement of “C” for enforced prerequisite. (4 credits)"
EECS 496,Major Design Experience Professionalism,['2'],https://atlas.ai.umich.edu/course/EECS%20496/,Prerequisite: Senior standing. (2 credits) 
EECS 497,Human-Centered Software and Design and Development,['4'],https://atlas.ai.umich.edu/course/EECS%20497/,Prerequisite: EECS 281. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)
EECS 498,Special Topics,[],https://atlas.ai.umich.edu/course/EECS%20498/,Prerequisite: Permission of instructor. (1-4 credits)
EECS 499,Directed Study,[],https://atlas.ai.umich.edu/course/EECS%20499/,Prerequisite: Senior standing in EECS. (1-4 credits)
ECE 500,Tutorial Lecture Series in System Science,[],https://atlas.ai.umich.edu/course/ECE%20500/,Prerequisite: Graduate standing; mandatory satisfactory/unsatisfactory. (1 credit)
ECE 501,Probability and Random Processes,['4'],https://atlas.ai.umich.edu/course/ECE%20501/,Prerequisite: EECS 301 or graduate standing. (4 credits)
ECE 502,Stochastic Processes,['3'],https://atlas.ai.umich.edu/course/ECE%20502/,Prerequisite: ECE 501. (3 credits)
ECE 503,Introduction to Numerical Electromagnetics,['3'],https://atlas.ai.umich.edu/course/EECS%20503/,Prerequisite: EECS 330. (3 credits)
EECS 504,Foundations of Computer Vision,[],https://atlas.ai.umich.edu/course/EECS%20504/,"Prerequisite: Undergraduate Calculus, Linear Algebra, Probability and Programming. (Credit Exclusions: No credit to a student who has taken EECS 442 or EECS 504.)"
ECE 505,Computational Data Science and Machine Learning,[],https://atlas.ai.umich.edu/course/ECE%20505/,Prerequisite: EECS 301 or MATH 425 or STATS 250 or STATS 412 or STATS 426 or IOE 265 or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (Credit Exclusions: No credit to a student who has taken ECE 551 or ECE 505.)
ECE 506,Design of Power Electronics,['3'],https://atlas.ai.umich.edu/course/ECE%20506/,Prerequisite: EECS 418 or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (3 credits)
EECS 507,Introduction to Embedded System Research,[],https://atlas.ai.umich.edu/course/EECS%20507/,Advisory Prerequisites: A prior >= 400-level course on computer system or sensor design and analysis. Sufficient time to read and understand two 30-page research papers per week. (3-4 credits)
ECE 508,,['3'],https://atlas.ai.umich.edu/course/ECE%20508/,Prerequisite: EECS 418 or graduate standing. Minimum grade requirement of “C” for enforced prerequsites. (3 credits)
ECE 509,BioMEMS,['3'],https://atlas.ai.umich.edu/course/ECE%20509/,Prerequisite: None. (3 credits)
ECE 511,Integrated Analog/Digital Interface Circuits,['4'],https://atlas.ai.umich.edu/course/ECE%20511/,Prerequisite: EECS 413 or permission of instructor. (4 credits)
ECE 512,Amorphous and Microcrystalline Semiconductor Thin Film Devices,['3'],https://atlas.ai.umich.edu/course/ECE%20512/,Prerequisite: EECS 421 and/or permission of instructor. (3 credits)
ECE 513,Flat Panel Displays,['3'],https://atlas.ai.umich.edu/course/ECE%20513/,"Prerequisite: EECS 423, ECE 512 and/or permission of instructor. (3 credits)"
